Protein	Entry	Protein description	Gene.names	Gene	Mitochondrion	Annotation (general)	AgingAnnotation (elife paper)	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval
IDI1_HUMAN	Q13907	Isopentenyl-diphosphate Delta-isomerase 1 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 1) (IPP isomerase 1) (IPPI1)	IDI1	IDI1	FALSE	Metabolism	Others	ENSG00000067064	IDI1	protein_coding	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	-0.445182822377163	-0.0864669717601152	0.296163857026933	-0.130229034637719	0.234953082585222	0.544003143671367	0	0.661748089037986	0.203264834560567
IDI2_HUMAN	Q9BXS1	Isopentenyl-diphosphate delta-isomerase 2 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 2) (IPP isomerase 2) (IPPI2)	IDI2	IDI2	FALSE	Metabolism	Others	ENSG00000148377	IDI2	protein_coding	isopentenyl-diphosphate delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:23487]	-0.500057796858901	-0.156103550926189	0.230391036791297	-0.412648512284453	-0.068294233379216	0.293139687194429	0	0.427636161353019	0.715076359619119
IMDH2_HUMAN	P12268	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (IMPDH-II)	IMPDH2 IMPD2	IMPDH2	FALSE	Metabolism	Others	ENSG00000178035	IMPDH2	protein_coding	inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]	-0.189789012338173	0.197254714190263	0.531237264115945	-0.124721123408298	0.240235909673668	0.547933103048843	0	0.314359922162788	0.192994401969778
IMPA1_HUMAN	P29218	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)	IMPA1 IMPA	IMPA1	FALSE	Metabolism	Others	ENSG00000133731	IMPA1	protein_coding	inositol monophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:6050]	-0.337963269084259	0.04017977914364	0.407153417518802	-0.417515366748876	-0.0741443421303131	0.287755788495084	0	0.839135297372528	0.691809842510047
IMPA2_HUMAN	O14732	Inositol monophosphatase 2 (IMP 2) (IMPase 2) (EC 3.1.3.25) (Inositol-1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2)	IMPA2 IMP.18P	IMPA2	FALSE	Metabolism	Others	ENSG00000141401	IMPA2	protein_coding	inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]	-0.281201932280643	0.102643300139295	0.458174947339052	-0.0519162879802994	0.308091490262654	0.59723225701031	0	0.603237329132315	0.0917599876496595
IMPA3_HUMAN	Q9NX62	Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase (Golgi-resident PAP phosphatase) (gPAPP) (EC 3.1.3.7) (3'(2'), 5'-bisphosphate nucleotidase 2) (Inositol monophosphatase domain-containing protein 1) (Myo-inositol monophosphatase A3) (Phosphoadenosine phosphate 3'-nucleotidase)	BPNT2 IMPA3 IMPAD1	BPNT2	FALSE	Metabolism	Others	ENSG00000104331	IMPAD1	protein_coding	3'(2'), 5'-bisphosphate nucleotidase 2 [Source:HGNC Symbol;Acc:HGNC:26019]	-0.32418081910626	0.0556234538809768	0.419984927782173	-0.463191385945564	-0.130224692011936	0.234957256262532	0	0.778610687594322	0.48502284358535
INO1_HUMAN	Q9NPH2	Inositol-3-phosphate synthase 1 (IPS 1) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase) (MI-1-P synthase) (MIP synthase) (hIPS) (Myo-inositol 1-phosphate synthase A1) (hINO1)	ISYNA1 INO1	ISYNA1	FALSE	Metabolism	Others	ENSG00000105655	ISYNA1	protein_coding	inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]	-0.539123732205247	-0.20785329923628	0.17911299501309	-0.268076927426246	0.0953174347195229	0.434966646905691	0	0.288527377350293	0.610009437804606
INSR_HUMAN	P06213	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]	INSR	INSR	FALSE	Metabolism	Others	ENSG00000171105	INSR	protein_coding	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	-0.359823899581583	0.399848302850515	0.84071885307347	-0.633413061870376	-0.00629881347207134	0.625809383488657	0	0.286304988726662	0.986221892185652
IPP2_HUMAN	P41236	Protein phosphatase inhibitor 2 (IPP-2)	PPP1R2 IPP2	PPP1R2	FALSE	Metabolism	Others	ENSG00000184203	PPP1R2	protein_coding	protein phosphatase 1 regulatory inhibitor subunit 2 [Source:HGNC Symbol;Acc:HGNC:9288]	-0.605625674125241	-0.25777434136072	0.172787383299748	-0.666110622559023	-0.375695299829181	0.0136418933822117	0	0.235030088722212	0.0585682164585838
ITPA_HUMAN	Q9BY32	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase) (Putative oncogene protein hlc14-06-p)	ITPA C20orf37 My049 OK/SW-cl.9	ITPA	FALSE	Metabolism	Others	ENSG00000125877	ITPA	protein_coding	inosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:6176]	-0.506980140666897	-0.165137804784203	0.221591156659396	-0.700265239432668	-0.460087610118412	-0.126345238461955	0	0.401034313909853	0.00920725342035799
KAD1_HUMAN	P00568	Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)	AK1	AK1	FALSE	Metabolism	Others	ENSG00000106992	AK1	protein_coding	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	-0.375056958319169	-0.00230215962587218	0.37109349474016	-0.539591050120359	-0.22904382495497	0.136363474975603	0	0.990723629607804	0.215192676915189
KIME_HUMAN	Q03426	Mevalonate kinase (MK) (EC 2.7.1.36)	MVK	MVK	FALSE	Metabolism	Others	ENSG00000110921	MVK	protein_coding	mevalonate kinase [Source:HGNC Symbol;Acc:HGNC:7530]	-0.0509043552445292	0.328409476717364	0.624919962379786	-0.633570159158224	-0.360064212308425	-0.00656120505865537	-1	0.0879627937761694	0.0466271068979709
KPB2_HUMAN	P46019	Phosphorylase b kinase regulatory subunit alpha, liver isoform (Phosphorylase kinase alpha L subunit)	PHKA2 PHKLA PYK	PHKA2	FALSE	Metabolism	Others	ENSG00000044446	PHKA2	protein_coding	phosphorylase kinase regulatory subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8926]	-0.554693741790648	-0.184729138000158	0.246221781137699	-0.471045668418612	-0.102372698445182	0.296746504460261	0	0.39876873880587	0.618738759776403
KPBB_HUMAN	Q93100	Phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta)	PHKB	PHKB	FALSE	Metabolism	Others	ENSG00000102893	PHKB	protein_coding	phosphorylase kinase regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:8927]	-0.411203303057876	-0.0450352536762102	0.333647491330075	-0.359570390303659	-0.00599396246737723	0.349087585020127	0	0.819992558752872	0.974470653835785
KTHY_HUMAN	P23919	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	DTYMK CDC8 TMPK TYMK	DTYMK	FALSE	Metabolism	Others	ENSG00000168393	DTYMK	protein_coding	deoxythymidylate kinase [Source:HGNC Symbol;Acc:HGNC:3061]	0.0827884433582326	0.606125213197748	0.867421240618511	-0.536988306560786	-0.056258244349792	0.452053739360755	-1	0.0280984800243696	0.83605550735753
LCAT_HUMAN	P04180	Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (1-alkyl-2-acetylglycerophosphocholine esterase) (EC 3.1.1.47) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)	LCAT	LCAT	FALSE	Metabolism	Others	ENSG00000213398	LCAT	protein_coding	lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]	-0.567580303373522	-0.15275000583793	0.323933972171021	-0.574611559963701	-0.177131289319487	0.287961116678622	0	0.532430070660945	0.455011075862983
LCLT1_HUMAN	Q6UWP7	Lysocardiolipin acyltransferase 1 (EC 2.3.1.-) (1-acylglycerol-3-phosphate O-acyltransferase 8) (1-AGP acyltransferase 8) (1-AGPAT 8) (EC 2.3.1.51) (Acyl-CoA:lysocardiolipin acyltransferase 1)	LCLAT1 AGPAT8 ALCAT1 LYCAT UNQ1849/PRO3579	LCLAT1	FALSE	Metabolism	Others	ENSG00000172954	LCLAT1	protein_coding	lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756]	-0.589181758793712	-0.233748118917693	0.19748171337492	-0.35487330182656	0.0376546821224854	0.418896754603895	0	0.283064372954449	0.855093466955332
LGUL_HUMAN	Q04760	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	GLO1	GLO1	FALSE	Metabolism	Others	ENSG00000124767	GLO1	protein_coding	glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]	-0.383725931816976	-0.012428218120006	0.362328713306397	-0.468740739765256	-0.137186411724174	0.228249042375165	0	0.949951340512956	0.461777410589665
LIPS_HUMAN	Q05469	Hormone-sensitive lipase (HSL) (EC 3.1.1.79) (Monoacylglycerol lipase LIPE) (EC 3.1.1.23) (Retinyl ester hydrolase) (REH)	LIPE	LIPE	FALSE	Metabolism	Others	ENSG00000079435	LIPE	protein_coding	lipase E, hormone sensitive type [Source:HGNC Symbol;Acc:HGNC:6621]	-0.0975310826955721	0.285950615658827	0.595498793608144	-0.439449787962648	-0.100806761796999	0.262925007831796	-1	0.140178697247451	0.58948593388672
LIS1_HUMAN	P43034	Platelet-activating factor acetylhydrolase IB subunit beta (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha)	PAFAH1B1 LIS1 MDCR MDS PAFAHA	PAFAH1B1	FALSE	Metabolism	Others	ENSG00000007168	PAFAH1B1	protein_coding	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	-0.409054355951795	-0.0424566893265904	0.335941420787052	-0.441194849570585	-0.102949070404726	0.260908735578659	0	0.830146721922155	0.581558990099629
LKHA4_HUMAN	P09960	Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase) (Tripeptide aminopeptidase LTA4H) (EC 3.4.11.4)	LTA4H LTA4	LTA4H	FALSE	Metabolism	Others	ENSG00000111144	LTA4H	protein_coding	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	-0.46231015666505	-0.107831752561991	0.276363137682614	-0.247392908603935	0.11722313589656	0.452757145597924	0	0.584946163261822	0.529990247161729
LPIN1_HUMAN	Q14693	Phosphatidate phosphatase LPIN1 (EC 3.1.3.4) (Lipin-1)	LPIN1 KIAA0188	LPIN1	FALSE	Metabolism	Others	ENSG00000134324	LPIN1	protein_coding	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	-0.34923261365203	0.0274164172527189	0.396438402322917	-0.540370139637823	-0.230085623020039	0.135284008225913	0	0.889856704959611	0.213055887939612
LRP1_HUMAN	Q07954	Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]	LRP1 A2MR APR	LRP1	FALSE	Metabolism	Others	ENSG00000123384	LRP1	protein_coding	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	-0.207709970262989	0.179257981595953	0.517711883652127	-0.261741618209025	0.102064533633113	0.440474641833308	0	0.361388959080744	0.584826218359366
LYPA1_HUMAN	O75608	Acyl-protein thioesterase 1 (APT-1) (hAPT1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I)	LYPLA1 APT1 LPL1	LYPLA1	FALSE	Metabolism	Others	ENSG00000120992	LYPLA1	protein_coding	lysophospholipase 1 [Source:HGNC Symbol;Acc:HGNC:6737]	-0.433587445091171	-0.0721877061082203	0.309216918874286	-0.529839368746756	-0.216063787077086	0.149740473687226	0	0.715079384590784	0.243045256447443
LYPA2_HUMAN	O95372	Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase II) (LPL-II) (LysoPLA II)	LYPLA2 APT2	LYPLA2	FALSE	Metabolism	Others	ENSG00000011009	LYPLA2	protein_coding	lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]	-0.448782814447403	-0.090930411356609	0.292054174327073	-0.495246710734291	-0.170896495459136	0.195268183948347	0	0.645389318718095	0.357992518167018
MAT2B_HUMAN	Q9NZL9	Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta) (MAT II beta) (Putative dTDP-4-keto-6-deoxy-D-glucose 4-reductase)	MAT2B TGR MSTP045 Nbla02999 UNQ2435/PRO4995	MAT2B	FALSE	Metabolism	Others	ENSG00000038274	MAT2B	protein_coding	methionine adenosyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:6905]	-0.301771090754938	0.0803521959542356	0.440232046174789	-0.303835445599204	0.0565980857925046	0.402858881877281	0	0.684406757322853	0.762333854215085
MBOA5_HUMAN	Q6P1A2	Lysophospholipid acyltransferase 5 (LPLAT 5) (EC 2.3.1.-) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.n7) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lyso-PC acyltransferase) (Lysophosphatidylcholine acyltransferase 3) (Lyso-PC acyltransferase 3) (Lysophosphatidylserine acyltransferase) (LPSAT) (Lyso-PS acyltransferase) (Membrane-bound O-acyltransferase domain-containing protein 5) (O-acyltransferase domain-containing protein 5)	LPCAT3 MBOAT5 OACT5	LPCAT3	FALSE	Metabolism	Others	ENSG00000111684	LPCAT3	protein_coding	lysophosphatidylcholine acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30244]	-0.277428081386013	0.20226923433856	0.601240970812415	-0.32437214787283	0.13795020164028	0.547074373945545	0	0.406284045416306	0.561919576548431
MBOA7_HUMAN	Q96N66	Lysophospholipid acyltransferase 7 (LPLAT 7) (EC 2.3.1.-) (1-acylglycerophosphatidylinositol O-acyltransferase) (Bladder and breast carcinoma-overexpressed gene 1 protein) (Leukocyte receptor cluster member 4) (Lysophosphatidylinositol acyltransferase) (LPIAT) (Lyso-PI acyltransferase) (Membrane-bound O-acyltransferase domain-containing protein 7) (O-acyltransferase domain-containing protein 7) (h-mboa-7)	MBOAT7 BB1 LENG4 OACT7	MBOAT7	FALSE	Metabolism	Others	ENSG00000125505	MBOAT7	protein_coding	membrane bound O-acyltransferase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:15505]	-0.995400481392295	-0.791845435523253	0.708220113620567	-0.890201410921925	-0.0369748069151015	0.873796278334308	0	0.208154564476747	0.952932942836401
METK2_HUMAN	P31153	S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2) (Methionine adenosyltransferase II) (MAT-II)	MAT2A AMS2 MATA2	MAT2A	FALSE	Metabolism	Others	ENSG00000168906	MAT2A	protein_coding	methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904]	-0.252534896512518	0.133080173088158	0.482215515001166	-0.132001563429301	0.233248388235386	0.542732100620896	0	0.499611647285564	0.206657910966943
MGLL_HUMAN	Q99685	Monoglyceride lipase (MGL) (EC 3.1.1.23) (HU-K5) (Lysophospholipase homolog) (Lysophospholipase-like) (Monoacylglycerol lipase) (MAGL)	MGLL	MGLL	FALSE	Metabolism	Others	ENSG00000074416	MGLL	protein_coding	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	-0.172036352923827	0.214828894388419	0.544282805735585	-0.107218421502074	0.256881069604209	0.560227455138413	0	0.272283051277259	0.163010922135328
MLEC_HUMAN	Q14165	Malectin	MLEC KIAA0152	MLEC	FALSE	Metabolism	Others	ENSG00000110917	MLEC	protein_coding	malectin [Source:HGNC Symbol;Acc:HGNC:28973]	-0.350518361918977	0.0259523656935023	0.39520284985075	-0.240542473492884	0.124400805882257	0.458528882537044	0	0.895705886215909	0.50491995477906
MOGS_HUMAN	Q13724	Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106) (Processing A-glucosidase I)	MOGS GCS1	MOGS	FALSE	Metabolism	Others	ENSG00000115275	MOGS	protein_coding	mannosyl-oligosaccharide glucosidase [Source:HGNC Symbol;Acc:HGNC:24862]	-0.390828739405988	-0.0207820202515322	0.355047696922754	-0.45339837215019	-0.118018831191144	0.246635281894916	0	0.916403178367015	0.52718181670225
MTHFS_HUMAN	P49914	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2) (5,10-methenyl-tetrahydrofolate synthetase) (MTHFS) (Methenyl-THF synthetase)	MTHFS	MTHFS	FALSE	Metabolism	Others	ENSG00000136371	MTHFS	protein_coding	methenyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:HGNC:7437]	-0.415423775154317	0.0478059921895768	0.491346223253541	-0.574899384001934	-0.177547580853215	0.287566899626325	0	0.845905740534989	0.453934798882806
MTHR_HUMAN	P42898	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	MTHFR	MTHFR	FALSE	Metabolism	Others	ENSG00000177000	MTHFR	protein_coding	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	-0.455608389067661	0.0988721080709128	0.598076792754074	-0.665083905205147	-0.23179212044702	0.318260494261143	0	0.736660086257979	0.40582892580987
MTM1_HUMAN	Q13496	Myotubularin (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)	MTM1 CG2	MTM1	FALSE	Metabolism	Others	ENSG00000171100	MTM1	protein_coding	myotubularin 1 [Source:HGNC Symbol;Acc:HGNC:7448]	-0.624116052586435	-0.327233176714828	0.0522187856536464	-0.481745299074021	-0.153630095704846	0.212265168206627	0	0.0891741266123045	0.409291896821669
MVD1_HUMAN	P53602	Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate (diphospho)decarboxylase) (MDDase) (Mevalonate pyrophosphate decarboxylase)	MVD MPD	MVD	FALSE	Metabolism	Others	ENSG00000167508	MVD	protein_coding	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	-0.341910654934069	0.230480495183799	0.678132390365198	-0.792455503752937	-0.471661547143618	0.0535365018446509	-1	0.42793058194125	0.075905545658425
NAGK_HUMAN	Q9UJ70	N-acetyl-D-glucosamine kinase (N-acetylglucosamine kinase) (EC 2.7.1.59) (GlcNAc kinase)	NAGK	NAGK	FALSE	Metabolism	Others	ENSG00000124357	NAGK	protein_coding	N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174]	-0.520368276078088	-0.182774764756674	0.204228296964484	-0.222598693974178	0.143022411263948	0.473372676853848	0	0.351887951010403	0.442754702659994
NANP_HUMAN	Q8TBE9	N-acylneuraminate-9-phosphatase (EC 3.1.3.29) (Haloacid dehalogenase-like hydrolase domain-containing protein 4) (Neu5Ac-9-Pase)	NANP C20orf147 HDHD4	NANP	FALSE	Metabolism	Others	ENSG00000170191	NANP	protein_coding	N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140]	-0.445524562877492	0.310455507052868	0.807986386598133	-0.769543586819883	-0.271433637484129	0.432026802511598	0	0.416165575868136	0.448085085841454
NCDN_HUMAN	Q9UBB6	Neurochondrin	NCDN KIAA0607	NCDN	FALSE	Metabolism	Others	ENSG00000020129	NCDN	protein_coding	neurochondrin [Source:HGNC Symbol;Acc:HGNC:17597]	-0.53749927795115	-0.00968052724318052	0.523588276145772	-0.533157460880863	-0.0287454926984212	0.490743673450615	0	0.973798602750625	0.91900090172331
NCEH1_HUMAN	Q6PIU2	Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (Arylacetamide deacetylase-like 1)	NCEH1 AADACL1 KIAA1363	NCEH1	FALSE	Metabolism	Others	ENSG00000144959	NCEH1	protein_coding	neutral cholesterol ester hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29260]	-0.33569684151988	0.0427318567234687	0.409283871400962	-0.414614080776896	-0.0706540599336035	0.290970676118097	0	0.829061833509465	0.705659491716011
NDK3_HUMAN	Q13232	Nucleoside diphosphate kinase 3 (NDK 3) (NDP kinase 3) (EC 2.7.4.6) (DR-nm23) (Nucleoside diphosphate kinase C) (NDPKC) (nm23-H3)	NME3	NME3	FALSE	Metabolism	Others	ENSG00000103024	NME3	protein_coding	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	-0.386390410112197	0.0822547605158082	0.517143126645793	-0.308458310958056	0.155254602214421	0.55934639215664	0	0.737800719863845	0.513373196580061
NDKA_HUMAN	P15531	Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein)	NME1 NDPKA NM23	NME1	FALSE	Metabolism	Others	ENSG00000239672	NME1	protein_coding	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	-0.579716093405966	-0.263664091678159	0.121349635220955	-0.54604756291769	-0.237699005702405	0.127368926886754	0	0.175193800863619	0.197880406284507
NDKB_HUMAN	P22392	Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (C-myc purine-binding transcription factor PUF) (Histidine protein kinase NDKB) (EC 2.7.13.3) (nm23-H2)	NME2 NM23B	NME2	FALSE	Metabolism	Others	ENSG00000243678	NME2	protein_coding	NME/NM23 nucleoside diphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:7850]	-0.376315575075265	-0.00376759696089485	0.369829164813153	-0.482209451489379	-0.154220373891575	0.211687732416764	0	0.984819305719615	0.407472744250305
NEUA_HUMAN	Q8NFW8	N-acylneuraminate cytidylyltransferase (EC 2.7.7.43) (CMP-N-acetylneuraminic acid synthase) (CMP-NeuNAc synthase)	CMAS	CMAS	FALSE	Metabolism	Others	ENSG00000111726	CMAS	protein_coding	cytidine monophosphate N-acetylneuraminic acid synthetase [Source:HGNC Symbol;Acc:HGNC:18290]	-0.114227302179815	0.270371669519935	0.584491293330432	-0.0907434544435045	0.272353946921605	0.571537325557099	0	0.164067634167011	0.138267696620382
NSDHL_HUMAN	Q15738	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating (EC 1.1.1.170) (Protein H105e3)	NSDHL H105E3	NSDHL	FALSE	Metabolism	Others	ENSG00000147383	NSDHL	protein_coding	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	-0.445870982253383	-0.0412501246962187	0.377368597462822	-0.358134045338556	0.0339239578771269	0.415811915786368	0	0.851758266032451	0.869322908667193
NT5C_HUMAN	Q8TCD5	5'(3')-deoxyribonucleotidase, cytosolic type (EC 3.1.3.-) (Cytosolic 5',3'-pyrimidine nucleotidase) (Deoxy-5'-nucleotidase 1) (dNT-1)	NT5C DNT1 UMPH2	NT5C	FALSE	Metabolism	Others	ENSG00000125458	NT5C	protein_coding	5', 3'-nucleotidase, cytosolic [Source:HGNC Symbol;Acc:HGNC:17144]	-0.439326387394516	-0.0792365267220275	0.302791312779869	-0.398366410312711	-0.0512623387072984	0.308684825962212	0	0.688570637163911	0.784186350972251
NUD12_HUMAN	Q9BQG2	NAD-capped RNA hydrolase NUDT12 (DeNADding enzyme NUDT12) (EC 3.6.1.-) (NADH pyrophosphatase NUDT12) (EC 3.6.1.22) (Nucleoside diphosphate-linked moiety X motif 12) (Nudix motif 12)	NUDT12	NUDT12	FALSE	Metabolism	Others	ENSG00000112874	NUDT12	protein_coding	nudix hydrolase 12 [Source:HGNC Symbol;Acc:HGNC:18826]	-0.302818141908	0.124984941928364	0.510867692328116	-0.501969470360824	-0.142282843602281	0.259363536750824	0	0.56988849035513	0.488082233327248
NUD16_HUMAN	Q96DE0	U8 snoRNA-decapping enzyme (EC 3.6.1.62) (IDP phosphatase) (IDPase) (EC 3.6.1.64) (Inosine diphosphate phosphatase) (Nucleoside diphosphate-linked moiety X motif 16) (Nudix motif 16) (Nudix hydrolase 16) (U8 snoRNA-binding protein H29K) (m7GpppN-mRNA hydrolase)	NUDT16	NUDT16	FALSE	Metabolism	Others	ENSG00000198585	NUDT16	protein_coding	nudix hydrolase 16 [Source:HGNC Symbol;Acc:HGNC:26442]	-0.248724071654781	0.137072229500365	0.485330110842433	-0.467158566849612	-0.135198216368677	0.230168385208048	0	0.486714943092581	0.468355264134539
OFUT1_HUMAN	Q9H488	GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1)	POFUT1 FUT12 KIAA0180	POFUT1	FALSE	Metabolism	Others	ENSG00000101346	POFUT1	protein_coding	protein O-fucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:14988]	-0.0444745277790895	0.334146703344286	0.628831919457121	-0.315532129204474	0.0436931315046354	0.391964762989763	0	0.0822328099704437	0.815460748279218
PA1B2_HUMAN	P68402	Platelet-activating factor acetylhydrolase IB subunit alpha2 (EC 3.1.1.47) (PAF acetylhydrolase 30 kDa subunit) (PAF-AH 30 kDa subunit) (PAF-AH subunit beta) (PAFAH subunit beta)	PAFAH1B2 PAFAHB	PAFAH1B2	FALSE	Metabolism	Others	ENSG00000168092	PAFAH1B2	protein_coding	platelet activating factor acetylhydrolase 1b catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:8575]	-0.372248250941889	0.0471957073097087	0.450631225648202	-0.448996435690533	-0.0746228814604099	0.322037658306989	0	0.830672589118333	0.717131060523676
PA1B3_HUMAN	Q15102	Platelet-activating factor acetylhydrolase IB subunit alpha1 (EC 3.1.1.47) (PAF acetylhydrolase 29 kDa subunit) (PAF-AH 29 kDa subunit) (PAF-AH subunit gamma) (PAFAH subunit gamma)	PAFAH1B3 PAFAHG	PAFAH1B3	FALSE	Metabolism	Others	ENSG00000079462	PAFAH1B3	protein_coding	platelet activating factor acetylhydrolase 1b catalytic subunit 3 [Source:HGNC Symbol;Acc:HGNC:8576]	-0.636166838249081	-0.344963185898576	0.0322663513253434	-0.405297660340072	-0.0595029509310358	0.301187491182951	0	0.0722094849355334	0.750510865263484
