Protein	Entry	Protein.description	Gene.names	Gene	Mitochondrion	Annotation..general.	AgingAnnotation..elife.paper.	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval	group
SUMO3_HUMAN	P55854	Small ubiquitin-related modifier 3 (SUMO-3) (SMT3 homolog 1) (SUMO-2) (Ubiquitin-like protein SMT3A) (Smt3A)	SUMO3 SMT3A SMT3H1	SUMO3	FALSE	NA	NA	ENSG00000184900	SUMO3	protein_coding	small ubiquitin like modifier 3 [Source:HGNC Symbol;Acc:HGNC:11124]	-0.9975591066	-0.8839810832	 0.5126142457	-0.6562753775	 5.368082e-01	 9.629934e-01	 1	1.160189e-01	0.3509299008	
SUSD2_HUMAN	Q9UGT4	Sushi domain-containing protein 2	SUSD2	SUSD2	FALSE	NA	NA	ENSG00000099994	SUSD2	protein_coding	sushi domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30667]	 0.0611498405	 0.5014319423	 0.7783647339	-0.4374161506	 6.329879e-03	 4.475969e-01	-1	2.872525e-02	0.9788701427	CTR_pos_PAD_ns
SWAHC_HUMAN	Q53LP3	Ankyrin repeat domain-containing protein SOWAHC (Ankyrin repeat domain-containing protein 57) (Protein sosondowah homolog C)	SOWAHC ANKRD57 C2orf26	SOWAHC	FALSE	NA	NA	ENSG00000198142	SOWAHC	protein_coding	sosondowah ankyrin repeat domain family member C [Source:HGNC Symbol;Acc:HGNC:26149]	 0.5288813053	 0.9621805877	 0.9975917489	-0.9013924947	-9.342018e-02	 8.597044e-01	-1	8.778632e-03	0.8812269743	CTR_pos_PAD_ns
SWP70_HUMAN	Q9UH65	Switch-associated protein 70 (SWAP-70)	SWAP70 KIAA0640 HSPC321	SWAP70	FALSE	NA	NA	ENSG00000133789	SWAP70	protein_coding	switching B cell complex subunit SWAP70 [Source:HGNC Symbol;Acc:HGNC:17070]	-0.5052951168	-0.1629334086	 0.2237441899	-0.2690472452	 9.428109e-02	 4.341184e-01	 0	4.074374e-01	0.6139175903	
SYF1_HUMAN	Q9HCS7	Pre-mRNA-splicing factor SYF1 (Protein HCNP) (XPA-binding protein 2)	XAB2 HCNP KIAA1177 SYF1 PP3898	XAB2	FALSE	NA	NA	ENSG00000076924	XAB2	protein_coding	XPA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14089]	-0.8699765350	-0.4875422743	 0.2611300583	-0.3455624616	 3.630558e-01	 8.079852e-01	 1	1.830903e-01	0.3024775883	
SYFM_HUMAN	O95363	Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)	FARS2 FARS1 HSPC320	FARS2	TRUE	NA	NA	ENSG00000145982	FARS2	protein_coding	phenylalanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21062]	-0.4966223517	-0.1516412652	 0.2347143602	-0.5813722181	-2.859359e-01	 7.611621e-02	 0	4.411236e-01	0.1189110221	
SYHC_HUMAN	P12081	Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	HARS1 HARS HRS	HARS1	FALSE	NA	NA	ENSG00000170445	HARS	protein_coding	histidyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:4816]	-0.1140577039	 0.2705309377	 0.5846044143	-0.4973709904	-1.736314e-01	 1.925556e-01	-1	1.638097e-01	0.3502350167	
SYNE3_HUMAN	Q6ZMZ3	Nesprin-3 (KASH domain-containing protein 3) (KASH3) (Nuclear envelope spectrin repeat protein 3)	SYNE3 C14orf139 C14orf49 LINC00341	SYNE3	FALSE	NA	NA	ENSG00000176438	SYNE3	protein_coding	spectrin repeat containing nuclear envelope family member 3 [Source:HGNC Symbol;Acc:HGNC:19861]	 0.0054204661	 0.4585009113	 0.7553951086	-0.2665762613	 1.994758e-01	 5.899228e-01	 0	4.833854e-02	0.3991365586	
SYNJ1_HUMAN	O43426	Synaptojanin-1 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 1)	SYNJ1 KIAA0910	SYNJ1	FALSE	NA	NA	ENSG00000159082	SYNJ1	protein_coding	synaptojanin 1 [Source:HGNC Symbol;Acc:HGNC:11503]	-0.6424951423	-0.1697993458	 0.3965018194	-0.2936231288	 2.573480e-01	 6.799705e-01	 0	5.616869e-01	0.3544630978	
SYRM_HUMAN	Q5T160	Probable arginine--tRNA ligase, mitochondrial (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	RARS2 RARSL	RARS2	TRUE	NA	NA	ENSG00000146282	RARS2	protein_coding	arginyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21406]	-0.3066593930	 0.1869807292	 0.6013550856	-0.6546210375	-3.107493e-01	 1.396743e-01	-1	4.575234e-01	0.1703555099	
SYVN1_HUMAN	Q86TM6	E3 ubiquitin-protein ligase synoviolin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase synoviolin) (Synovial apoptosis inhibitor 1)	SYVN1 HRD1 KIAA1810	SYVN1	FALSE	NA	NA	ENSG00000162298	SYVN1	protein_coding	synoviolin 1 [Source:HGNC Symbol;Acc:HGNC:20738]	-0.8299440117	 0.1954018502	 0.9192012116	-0.7723739719	 3.449659e-01	 9.408752e-01	 0	7.527991e-01	0.5696497318	
T10B_HUMAN	Q9Y5J6	Mitochondrial import inner membrane translocase subunit Tim10 B (Fracture callus protein 1) (FxC1) (Mitochondrial import inner membrane translocase subunit Tim9 B) (TIMM10B) (Tim10b)	TIMM10B FXC1 TIM9B TIMM9B	TIMM10B	TRUE	NA	NA	ENSG00000132286	TIMM10B	protein_coding	translocase of inner mitochondrial membrane 10B [Source:HGNC Symbol;Acc:HGNC:4022]	-0.9792921512	-0.7134065438	 0.4556571867	-0.6487345294	 5.460904e-01	 9.639354e-01	 1	1.760438e-01	0.3409938642	
T11L1_HUMAN	Q9NUJ3	T-complex protein 11-like protein 1	TCP11L1	TCP11L1	FALSE	NA	NA	ENSG00000176148	TCP11L1	protein_coding	t-complex 11 like 1 [Source:HGNC Symbol;Acc:HGNC:25655]	-0.7715171896	-0.2759275095	 0.4280674741	-0.7567522421	-2.428251e-01	 4.566122e-01	 0	4.403024e-01	0.4990481303	
T11L2_HUMAN	Q8N4U5	T-complex protein 11-like protein 2	TCP11L2	TCP11L2	FALSE	NA	NA	ENSG00000166046	TCP11L2	protein_coding	t-complex 11 like 2 [Source:HGNC Symbol;Acc:HGNC:28627]	-0.8642207853	 0.0759730014	 0.8980448895	-0.7643768884	 3.620509e-01	 9.430752e-01	 0	9.033613e-01	0.5493013070	
T126B_HUMAN	Q8IUX1	Complex I assembly factor TMEM126B, mitochondrial (Transmembrane protein 126B)	TMEM126B HT007	TMEM126B	TRUE	NA	NA	ENSG00000171204	TMEM126B	protein_coding	transmembrane protein 126B [Source:HGNC Symbol;Acc:HGNC:30883]	-0.7177765029	-0.1025298449	 0.6026260545	-0.9379681201	-7.530991e-01	-2.348155e-01	-1	7.929491e-01	0.0119191720	CTR_ns_PAD_neg
T161A_HUMAN	Q9NX61	Transmembrane protein 161A (Adaptive response to oxidative stress protein 29) (AROS-29)	TMEM161A UNQ582/PRO1152	TMEM161A	FALSE	NA	NA	ENSG00000064545	TMEM161A	protein_coding	transmembrane protein 161A [Source:HGNC Symbol;Acc:HGNC:26020]	-0.6681650668	-0.0072688672	 0.6600391218	-0.8014679174	-3.468922e-01	 3.617434e-01	 0	9.851926e-01	0.3260822019	
T2FB_HUMAN	P13984	General transcription factor IIF subunit 2 (EC 3.6.4.12) (ATP-dependent helicase GTF2F2) (General transcription factor IIF 30 kDa subunit) (Transcription initiation factor IIF subunit beta) (TFIIF-beta) (Transcription initiation factor RAP30)	GTF2F2 RAP30	GTF2F2	FALSE	NA	NA	ENSG00000188342	GTF2F2	protein_coding	general transcription factor IIF subunit 2 [Source:HGNC Symbol;Acc:HGNC:4653]	-0.9468426706	 0.1582681843	 0.9715702019	-0.6601782971	 5.318879e-01	 9.624898e-01	 0	8.417318e-01	0.3562252629	
TAB2_HUMAN	Q9NYJ8	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 2) (TAK1-binding protein 2) (TAB-2) (TGF-beta-activated kinase 1-binding protein 2)	TAB2 KIAA0733 MAP3K7IP2	TAB2	FALSE	NA	NA	ENSG00000055208	TAB2	protein_coding	TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]	-0.8614893723	 0.0865938405	 0.9000941211	-0.9592991408	-5.013761e-01	 6.830243e-01	 0	8.898832e-01	0.3894855515	
TAF4B_HUMAN	Q92750	Transcription initiation factor TFIID subunit 4B (Transcription initiation factor TFIID 105 kDa subunit) (TAF(II)105) (TAFII-105) (TAFII105)	TAF4B TAF2C2 TAFII105	TAF4B	FALSE	NA	NA	ENSG00000141384	TAF4B	protein_coding	TATA-box binding protein associated factor 4b [Source:HGNC Symbol;Acc:HGNC:11538]	-0.9933759206	-0.7131047677	 0.7881356137	-0.9548158882	-6.363806e-01	 3.622893e-01	 0	2.868952e-01	0.1742899211	
TAF5_HUMAN	Q15542	Transcription initiation factor TFIID subunit 5 (Transcription initiation factor TFIID 100 kDa subunit) (TAF(II)100) (TAFII-100) (TAFII100)	TAF5 TAF2D	TAF5	FALSE	NA	NA	ENSG00000148835	TAF5	protein_coding	TATA-box binding protein associated factor 5 [Source:HGNC Symbol;Acc:HGNC:11539]	-0.9985448606	-0.9292097848	 0.2980621893	-0.9911519614	-8.673381e-01	 6.358534e-02	 0	7.079022e-02	0.0568351221	
TAF6_HUMAN	P49848	Transcription initiation factor TFIID subunit 6 (RNA polymerase II TBP-associated factor subunit E) (Transcription initiation factor TFIID 70 kDa subunit) (TAF(II)70) (TAFII-70) (TAFII70) (Transcription initiation factor TFIID 80 kDa subunit) (TAF(II)80) (TAFII-80) (TAFII80)	TAF6 TAF2E TAFII70	TAF6	FALSE	NA	NA	ENSG00000106290	TAF6	protein_coding	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]	-0.9935498947	-0.7196043239	 0.7830241692	-0.9789041725	-7.087700e-01	 4.630572e-01	 0	2.803957e-01	0.1801944904	
TAF8_HUMAN	Q7Z7C8	Transcription initiation factor TFIID subunit 8 (Protein taube nuss) (TBP-associated factor 43 kDa) (TBP-associated factor 8) (Transcription initiation factor TFIID 43 kDa subunit) (TAFII-43) (TAFII43) (hTAFII43)	TAF8 TAFII43 TBN	TAF8	FALSE	NA	NA	ENSG00000137413	TAF8	protein_coding	TATA-box binding protein associated factor 8 [Source:HGNC Symbol;Acc:HGNC:17300]	-0.5892760705	 0.1229701209	 0.7276654799	-0.7354889050	-1.971676e-01	 4.937543e-01	 0	7.526227e-01	0.5850753812	
TANC1_HUMAN	Q9C0D5	Protein TANC1 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 1)	TANC1 KIAA1728	TANC1	FALSE	NA	NA	ENSG00000115183	TANC1	protein_coding	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29364]	-0.3656138915	 0.3429623937	 0.7998669172	-0.9261589054	-7.113380e-01	-1.479954e-01	-1	3.319609e-01	0.0210675866	CTR_ns_PAD_neg
TANC2_HUMAN	Q9HCD6	Protein TANC2 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 2)	TANC2 KIAA1148 KIAA1636	TANC2	FALSE	NA	NA	ENSG00000170921	TANC2	protein_coding	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:HGNC Symbol;Acc:HGNC:30212]	-0.9453073430	-0.3797941467	 0.7556878950	-0.8045337409	 2.678711e-01	 9.302808e-01	 0	5.283218e-01	0.6630598162	
TANK_HUMAN	Q92844	TRAF family member-associated NF-kappa-B activator (TRAF-interacting protein) (I-TRAF)	TANK ITRAF TRAF2	TANK	FALSE	NA	NA	ENSG00000136560	TANK	protein_coding	TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]	-0.6204896459	 0.0149947540	 0.6385920484	-0.6093735014	 3.286072e-02	 6.490580e-01	 0	9.672063e-01	0.9281947436	
TAOK2_HUMAN	Q9UL54	Serine/threonine-protein kinase TAO2 (EC 2.7.11.1) (Kinase from chicken homolog C) (hKFC-C) (Prostate-derived sterile 20-like kinase 1) (PSK-1) (PSK1) (Prostate-derived STE20-like kinase 1) (Thousand and one amino acid protein kinase 2)	TAOK2 KIAA0881 MAP3K17 PSK PSK1 UNQ2971/PRO7431	TAOK2	FALSE	NA	NA	ENSG00000149930	TAOK2	protein_coding	TAO kinase 2 [Source:HGNC Symbol;Acc:HGNC:16835]	-0.9489185188	-0.4094082506	 0.7402371176	-0.8499651228	 1.291513e-01	 9.079595e-01	 0	4.936775e-01	0.8360177229	
TAZ_HUMAN	Q16635	Tafazzin (Protein G4.5)	TAZ EFE2 G4.5	TAZ	FALSE	NA	NA	ENSG00000102125	TAZ	protein_coding	tafazzin [Source:HGNC Symbol;Acc:HGNC:11577]	-0.8744632988	-0.5017092922	 0.2435684602	-0.7152555466	-2.020901e-01	 4.526604e-01	 0	1.687792e-01	0.5512335591	
TB10A_HUMAN	Q9BXI6	TBC1 domain family member 10A (EBP50-PDX interactor of 64 kDa) (EPI64 protein) (Rab27A-GAP-alpha)	TBC1D10A EPI64 TBC1D10	TBC1D10A	FALSE	NA	NA	ENSG00000099992	TBC1D10A	protein_coding	TBC1 domain family member 10A [Source:HGNC Symbol;Acc:HGNC:23609]	-0.9498162783	 0.1293356335	 0.9698656888	 0.5350120900	 9.628099e-01	 9.976325e-01	 0	8.706644e-01	0.0085612506	
TBA1B_HUMAN	P68363	Tubulin alpha-1B chain (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]	TUBA1B	TUBA1B	FALSE	NA	NA	ENSG00000123416	TUBA1B	protein_coding	tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809]	-0.1130312516	 0.3137909891	 0.6428442629	-0.5749701794	-2.413766e-01	 1.610314e-01	-1	1.448154e-01	0.2348659057	
TBC12_HUMAN	O60347	TBC1 domain family member 12	TBC1D12 KIAA0608	TBC1D12	FALSE	NA	NA	ENSG00000108239	TBC1D12	protein_coding	TBC1 domain family member 12 [Source:HGNC Symbol;Acc:HGNC:29082]	-0.9897776625	-0.8481988291	 0.1353700936	-0.8967424635	-6.931832e-02	 8.659044e-01	 0	6.935885e-02	0.9118119080	
TBC8B_HUMAN	Q0IIM8	TBC1 domain family member 8B	TBC1D8B	TBC1D8B	FALSE	NA	NA	ENSG00000133138	TBC1D8B	protein_coding	TBC1 domain family member 8B [Source:HGNC Symbol;Acc:HGNC:24715]	-0.7092265496	 0.7910900113	 0.9953818851	-0.7353348016	 4.183240e-01	 9.499787e-01	 0	2.089100e-01	0.4833434805	
TBCD5_HUMAN	Q92609	TBC1 domain family member 5	TBC1D5 KIAA0210	TBC1D5	FALSE	NA	NA	ENSG00000131374	TBC1D5	protein_coding	TBC1 domain family member 5 [Source:HGNC Symbol;Acc:HGNC:19166]	-0.5295154962	 0.2076175768	 0.7661060271	-0.6485525581	-3.198871e-02	 6.099220e-01	 0	5.919447e-01	0.9300962520	
TBCD8_HUMAN	O95759	TBC1 domain family member 8 (AD 3) (Vascular Rab-GAP/TBC-containing protein)	TBC1D8 VRP	TBC1D8	FALSE	NA	NA	ENSG00000204634	TBC1D8	protein_coding	TBC1 domain family member 8 [Source:HGNC Symbol;Acc:HGNC:17791]	-0.8499164366	 0.1293237780	 0.9079903014	-0.9612077079	-5.194917e-01	 6.697340e-01	 0	8.358000e-01	0.3696516803	
TBK1_HUMAN	Q9UHD2	Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)	TBK1 NAK	TBK1	FALSE	NA	NA	ENSG00000183735	TBK1	protein_coding	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	-0.1238318675	 0.3038815682	 0.6363714473	-0.2739671375	 1.268459e-01	 4.901165e-01	 0	1.586316e-01	0.5369166854	
TBL2_HUMAN	Q9Y4P3	Transducin beta-like protein 2 (WS beta-transducin repeats protein) (WS-betaTRP) (Williams-Beuren syndrome chromosomal region 13 protein)	TBL2 WBSCR13 UNQ563/PRO1125	TBL2	FALSE	NA	NA	ENSG00000106638	TBL2	protein_coding	transducin beta like 2 [Source:HGNC Symbol;Acc:HGNC:11586]	-0.5556470029	-0.0355474056	 0.5045482425	-0.6042219253	-1.331815e-01	 4.068374e-01	 0	9.039744e-01	0.6360858904	
TBL3_HUMAN	Q12788	Transducin beta-like protein 3 (WD repeat-containing protein SAZD)	TBL3 SAZD	TBL3	FALSE	NA	NA	ENSG00000183751	TBL3	protein_coding	transducin beta like 3 [Source:HGNC Symbol;Acc:HGNC:11587]	-0.7831287569	-0.5105101555	-0.0732968230	-0.6526739499	-3.076748e-01	 1.430060e-01	 0	2.552153e-02	0.1748471175	
TBRG1_HUMAN	Q3YBR2	Transforming growth factor beta regulator 1 (Nuclear interactor of ARF and Mdm2)	TBRG1 NIAM	TBRG1	FALSE	NA	NA	ENSG00000154144	TBRG1	protein_coding	transforming growth factor beta regulator 1 [Source:HGNC Symbol;Acc:HGNC:29551]	-0.9779969007	-0.2815496355	 0.9316309218	-0.9744874350	-6.575827e-01	 5.351691e-01	 0	7.184504e-01	0.2277694940	
TCAL3_HUMAN	Q969E4	Transcription elongation factor A protein-like 3 (TCEA-like protein 3) (Transcription elongation factor S-II protein-like 3)	TCEAL3 MSTP072	TCEAL3	FALSE	NA	NA	ENSG00000196507	TCEAL3	protein_coding	transcription elongation factor A like 3 [Source:HGNC Symbol;Acc:HGNC:28247]	-0.8192603166	 0.6670449841	 0.9921050861	-0.6819619866	 5.028633e-01	 9.594574e-01	 0	3.329550e-01	0.3878480297	
TCEA1_HUMAN	P23193	Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o)	TCEA1 GTF2S TFIIS	TCEA1	FALSE	NA	NA	ENSG00000187735	TCEA1	protein_coding	transcription elongation factor A1 [Source:HGNC Symbol;Acc:HGNC:11612]	-0.7978345488	 0.2851490324	 0.9327552908	-0.8129211538	 2.452209e-01	 9.269430e-01	 0	6.419189e-01	0.6909330914	
TCF25_HUMAN	Q9BQ70	Transcription factor 25 (TCF-25) (Nuclear localized protein 1)	TCF25 KIAA1049 NULP1 FKSG26	TCF25	FALSE	NA	NA	ENSG00000141002	TCF25	protein_coding	transcription factor 25 [Source:HGNC Symbol;Acc:HGNC:29181]	-0.7659399815	-0.2632839197	 0.4391385968	 0.2377195260	 7.544273e-01	 9.383368e-01	 1	4.623562e-01	0.0116851856	PAD_pos_CTR_ns
TCPR1_HUMAN	Q7Z6L1	Tectonin beta-propeller repeat-containing protein 1	TECPR1 KIAA1358	TECPR1	FALSE	NA	NA	ENSG00000205356	TECPR1	protein_coding	tectonin beta-propeller repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:22214]	-0.3297663342	 0.3784340631	 0.8140863491	-0.6558671758	-4.469965e-02	 6.018656e-01	 0	2.808904e-01	0.9024146505	
TCPR2_HUMAN	O15040	Tectonin beta-propeller repeat-containing protein 2 (WD repeat-containing protein KIAA0329/KIAA0297)	TECPR2 KIAA0297 KIAA0329	TECPR2	FALSE	NA	NA	ENSG00000196663	TECPR2	protein_coding	tectonin beta-propeller repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:19957]	-0.5672192002	 0.1554675268	 0.7428866627	-0.3852646271	 2.791174e-01	 7.529258e-01	 0	6.895942e-01	0.4058653188	
TDRD3_HUMAN	Q9H7E2	Tudor domain-containing protein 3	TDRD3	TDRD3	FALSE	NA	NA	ENSG00000083544	TDRD3	protein_coding	tudor domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20612]	-0.9861825280	-0.4808227966	 0.8928713836	-0.9004062741	-8.822807e-02	 8.610642e-01	 0	5.191772e-01	0.8878104396	
TDRD7_HUMAN	Q8NHU6	Tudor domain-containing protein 7 (PCTAIRE2-binding protein) (Tudor repeat associator with PCTAIRE-2) (Trap)	TDRD7 PCTAIRE2BP	TDRD7	FALSE	NA	NA	ENSG00000196116	TDRD7	protein_coding	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	-0.4900892569	 0.2580089114	 0.7872379353	-0.8923366972	-5.995746e-01	 4.827650e-02	-1	5.026798e-01	0.0669322561	
TDRKH_HUMAN	Q9Y2W6	Tudor and KH domain-containing protein (Tudor domain-containing protein 2)	TDRKH TDRD2	TDRKH	TRUE	NA	NA	ENSG00000182134	TDRKH	protein_coding	tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]	-0.1594077421	 0.4054654086	 0.7703238763	-0.8220387575	-5.351112e-01	-3.147665e-02	-1	1.503424e-01	0.0398324725	CTR_ns_PAD_neg
TE2IP_HUMAN	Q9NYB0	Telomeric repeat-binding factor 2-interacting protein 1 (TERF2-interacting telomeric protein 1) (TRF2-interacting telomeric protein 1) (Dopamine receptor-interacting protein 5) (Repressor/activator protein 1 homolog) (RAP1 homolog) (hRap1)	TERF2IP DRIP5 RAP1 PP8000	TERF2IP	FALSE	NA	NA	ENSG00000166848	TERF2IP	protein_coding	TERF2 interacting protein [Source:HGNC Symbol;Acc:HGNC:19246]	-0.4373851638	 0.0209951020	 0.4707155646	-0.6331063936	-2.647621e-01	 2.013493e-01	 0	9.320138e-01	0.2592818757	
TEAD1_HUMAN	P28347	Transcriptional enhancer factor TEF-1 (NTEF-1) (Protein GT-IIC) (TEA domain family member 1) (TEAD-1) (Transcription factor 13) (TCF-13)	TEAD1 TCF13 TEF1	TEAD1	FALSE	NA	NA	ENSG00000187079	TEAD1	protein_coding	TEA domain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11714]	-0.5397675386	 0.1361190821	 0.7052983814	-0.7679617004	-2.678473e-01	 4.351672e-01	 0	7.076955e-01	0.4543403998	
TEAD3_HUMAN	Q99594	Transcriptional enhancer factor TEF-5 (DTEF-1) (TEA domain family member 3) (TEAD-3)	TEAD3 TEAD5 TEF5	TEAD3	FALSE	NA	NA	ENSG00000007866	TEAD3	protein_coding	TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]	-0.7905342182	 0.7099631367	 0.9932913652	-0.9865625002	-8.048218e-01	 2.671124e-01	-1	2.900369e-01	0.1004243078	
TELO2_HUMAN	Q9Y4R8	Telomere length regulation protein TEL2 homolog (Protein clk-2 homolog) (hCLK2)	TELO2 KIAA0683	TELO2	FALSE	NA	NA	ENSG00000100726	TELO2	protein_coding	telomere maintenance 2 [Source:HGNC Symbol;Acc:HGNC:29099]	-0.8232903561	-0.3511834861	 0.4081245235	-0.8180731694	-3.886147e-01	 3.190863e-01	 0	3.540826e-01	0.2670730758	
TEP1_HUMAN	Q99973	Telomerase protein component 1 (Telomerase-associated protein 1) (Telomerase protein 1) (p240) (p80 telomerase homolog)	TEP1 TLP1 TP1	TEP1	FALSE	NA	NA	ENSG00000129566	TEP1	protein_coding	telomerase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:11726]	-0.8708337554	 0.0493441291	 0.8927451890	-0.6368894048	 5.601015e-01	 9.653378e-01	 0	9.371986e-01	0.3261317275	
TERF2_HUMAN	Q15554	Telomeric repeat-binding factor 2 (TTAGGG repeat-binding factor 2) (Telomeric DNA-binding protein)	TERF2 TRBF2 TRF2	TERF2	FALSE	NA	NA	ENSG00000132604	TERF2	protein_coding	telomeric repeat binding factor 2 [Source:HGNC Symbol;Acc:HGNC:11729]	-0.9380531587	 0.2339675457	 0.9756637656	-0.9914111785	-9.203764e-01	-4.300004e-01	 0	7.660325e-01	0.0092574758	
TESK2_HUMAN	Q96S53	Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1) (Testicular protein kinase 2)	TESK2	TESK2	FALSE	NA	NA	ENSG00000070759	TESK2	protein_coding	testis associated actin remodelling kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]	-0.9906144587	-0.6160104377	 0.8458583426	-0.9425254349	-5.570979e-01	 4.644502e-01	 0	3.839896e-01	0.2508030969	
TF2AA_HUMAN	P52655	Transcription initiation factor IIA subunit 1 (General transcription factor IIA subunit 1) (TFIIAL) (Transcription initiation factor TFIIA 42 kDa subunit) (TFIIA-42) [Cleaved into: Transcription initiation factor IIA alpha chain (TFIIA p35 subunit); Transcription initiation factor IIA beta chain (TFIIA p19 subunit)]	GTF2A1 TF2A1	GTF2A1	FALSE	NA	NA	ENSG00000165417	GTF2A1	protein_coding	general transcription factor IIA subunit 1 [Source:HGNC Symbol;Acc:HGNC:4646]	-0.9859914135	-0.7973148716	 0.2864605497	-0.6882937622	 4.938940e-01	 9.584985e-01	 1	1.061454e-01	0.3977487277	
TF3C1_HUMAN	Q12789	General transcription factor 3C polypeptide 1 (TF3C-alpha) (TFIIIC box B-binding subunit) (Transcription factor IIIC 220 kDa subunit) (TFIIIC 220 kDa subunit) (TFIIIC220) (Transcription factor IIIC subunit alpha)	GTF3C1	GTF3C1	FALSE	NA	NA	ENSG00000077235	GTF3C1	protein_coding	general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664]	-0.9742961156	-0.6554296107	 0.5378638948	-0.9021138294	-9.724579e-02	 8.586937e-01	 0	2.298374e-01	0.8763782480	
TF3C3_HUMAN	Q9Y5Q9	General transcription factor 3C polypeptide 3 (Transcription factor IIIC 102 kDa subunit) (TFIIIC 102 kDa subunit) (TFIIIC102) (Transcription factor IIIC subunit gamma) (TF3C-gamma)	GTF3C3	GTF3C3	FALSE	NA	NA	ENSG00000119041	GTF3C3	protein_coding	general transcription factor IIIC subunit 3 [Source:HGNC Symbol;Acc:HGNC:4666]	-0.8442477295	 0.1490061094	 0.9114504454	-0.2748268269	 8.018692e-01	 9.863384e-01	 0	8.109839e-01	0.1026630367	
TF3C4_HUMAN	Q9UKN8	General transcription factor 3C polypeptide 4 (EC 2.3.1.48) (TF3C-delta) (Transcription factor IIIC 90 kDa subunit) (TFIIIC 90 kDa subunit) (TFIIIC90) (Transcription factor IIIC subunit delta)	GTF3C4	GTF3C4	FALSE	NA	NA	ENSG00000125484	GTF3C4	protein_coding	general transcription factor IIIC subunit 4 [Source:HGNC Symbol;Acc:HGNC:4667]	-0.8362773823	-0.3872060012	 0.3727756869	-0.6653128663	-6.141193e-02	 5.910690e-01	 0	3.032158e-01	0.8661669059	
TFB1M_HUMAN	Q8WVM0	Dimethyladenosine transferase 1, mitochondrial (EC 2.1.1.-) (Mitochondrial 12S rRNA dimethylase 1) (Mitochondrial transcription factor B1) (h-mtTFB) (h-mtTFB1) (hTFB1M) (mtTFB1) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 1)	TFB1M CGI-75	TFB1M	TRUE	NA	NA	ENSG00000029639	TFB1M	protein_coding	transcription factor B1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17037]	-0.5380010998	-0.0949903908	 0.3891372061	-0.2830075247	 1.693715e-01	 5.601059e-01	 0	7.077147e-01	0.4629735246	
