ENSG	ENSG.ver	name	type	description	logFC	P.Value	-log10(P.Val)	adj.P.Val
ENSG00000196378	ENSG00000196378.11	ZNF34	protein_coding	zinc finger protein 34 [Source:HGNC Symbol;Acc:HGNC:13098]	0.0481	0.394	0.405	0.701
ENSG00000079691	ENSG00000079691.17	LRRC16A	protein_coding	capping protein regulator and myosin 1 linker 1 [Source:HGNC Symbol;Acc:HGNC:21581]	-0.121	0.394	0.405	0.701
ENSG00000278601	ENSG00000278601.1	RP11-348N5.9	lncRNA	novel transcript, antisense to BBIP1	0.113	0.394	0.405	0.701
ENSG00000128699	ENSG00000128699.13	ORMDL1	protein_coding	ORMDL sphingolipid biosynthesis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16036]	-0.0419	0.394	0.405	0.701
ENSG00000101182	ENSG00000101182.14	PSMA7	protein_coding	proteasome 20S subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]	0.0412	0.394	0.405	0.701
ENSG00000171365	ENSG00000171365.16	CLCN5	protein_coding	chloride voltage-gated channel 5 [Source:HGNC Symbol;Acc:HGNC:2023]	0.0941	0.394	0.405	0.701
ENSG00000182512	ENSG00000182512.4	GLRX5	protein_coding	glutaredoxin 5 [Source:HGNC Symbol;Acc:HGNC:20134]	-0.0631	0.394	0.405	0.701
ENSG00000242779	ENSG00000242779.6	ZNF702P	transcribed_processed_pseudogene	zinc finger protein 702, pseudogene [Source:HGNC Symbol;Acc:HGNC:25775]	-0.0991	0.394	0.405	0.701
ENSG00000161203	ENSG00000161203.13	AP2M1	protein_coding	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	0.0282	0.394	0.405	0.701
ENSG00000116906	ENSG00000116906.12	GNPAT	protein_coding	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]	0.0482	0.394	0.405	0.701
ENSG00000174792	ENSG00000174792.10	C4orf26	protein_coding	odontogenesis associated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:26300]	0.181	0.394	0.405	0.701
ENSG00000119392	ENSG00000119392.14	GLE1	protein_coding	GLE1 RNA export mediator [Source:HGNC Symbol;Acc:HGNC:4315]	0.0262	0.394	0.405	0.701
ENSG00000155959	ENSG00000155959.10	VBP1	protein_coding	VHL binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12662]	0.0448	0.394	0.405	0.701
ENSG00000110958	ENSG00000110958.15	PTGES3	protein_coding	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	-0.0268	0.394	0.405	0.701
ENSG00000136167	ENSG00000136167.13	LCP1	protein_coding	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	0.151	0.394	0.404	0.701
ENSG00000102796	ENSG00000102796.10	DHRS12	protein_coding	dehydrogenase/reductase 12 [Source:HGNC Symbol;Acc:HGNC:25832]	-0.048	0.394	0.404	0.701
ENSG00000210825	ENSG00000210825.1	SNORA40	snoRNA	small nucleolar RNA, H/ACA box 40 [Source:HGNC Symbol;Acc:HGNC:32633]	0.134	0.394	0.404	0.701
ENSG00000102935	ENSG00000102935.11	ZNF423	protein_coding	zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762]	-0.0554	0.394	0.404	0.701
ENSG00000239559	ENSG00000239559.2	RPL37P2	processed_pseudogene	ribosomal protein L37 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:17092]	0.126	0.394	0.404	0.702
ENSG00000265942	ENSG00000265942.2	RN7SL577P	misc_RNA	RNA, 7SL, cytoplasmic 577, pseudogene [Source:HGNC Symbol;Acc:HGNC:46593]	0.149	0.394	0.404	0.702
ENSG00000164346	ENSG00000164346.9	NSA2	protein_coding	NSA2 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:30728]	0.0847	0.394	0.404	0.702
ENSG00000167861	ENSG00000167861.15	HID1	protein_coding	HID1 domain containing [Source:HGNC Symbol;Acc:HGNC:15736]	-0.0674	0.394	0.404	0.702
ENSG00000203356	ENSG00000203356.2	RP11-296A18.3	lncRNA	long intergenic non-protein coding RNA 1562 [Source:HGNC Symbol;Acc:HGNC:51335]	-0.179	0.394	0.404	0.702
ENSG00000074657	ENSG00000074657.13	ZNF532	protein_coding	zinc finger protein 532 [Source:HGNC Symbol;Acc:HGNC:30940]	0.0413	0.394	0.404	0.702
ENSG00000156587	ENSG00000156587.15	UBE2L6	protein_coding	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	0.0571	0.394	0.404	0.702
ENSG00000271420	ENSG00000271420.1	RP5-1057J7.7	lncRNA	novel transcript	0.1	0.394	0.404	0.702
ENSG00000276030	ENSG00000276030.1	CTD-2027I19.3	lncRNA	novel transcript	-0.124	0.395	0.404	0.702
ENSG00000276768	ENSG00000276768.1	RP5-1116H23.5	lncRNA	novel transcript	-0.178	0.395	0.404	0.702
ENSG00000140718	ENSG00000140718.20	FTO	protein_coding	FTO alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:24678]	0.0239	0.395	0.404	0.702
ENSG00000092529	ENSG00000092529.23	CAPN3	protein_coding	calpain 3 [Source:HGNC Symbol;Acc:HGNC:1480]	0.04	0.395	0.404	0.702
ENSG00000125977	ENSG00000125977.6	EIF2S2	protein_coding	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	0.0406	0.395	0.404	0.702
ENSG00000087470	ENSG00000087470.17	DNM1L	protein_coding	dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]	-0.0487	0.395	0.404	0.702
ENSG00000104044	ENSG00000104044.15	OCA2	protein_coding	OCA2 melanosomal transmembrane protein [Source:HGNC Symbol;Acc:HGNC:8101]	-0.177	0.395	0.404	0.702
ENSG00000159289	ENSG00000159289.6	GOLGA6A	protein_coding	golgin A6 family member A [Source:HGNC Symbol;Acc:HGNC:13567]	-0.208	0.395	0.404	0.702
ENSG00000087589	ENSG00000087589.16	CASS4	protein_coding	Cas scaffold protein family member 4 [Source:HGNC Symbol;Acc:HGNC:15878]	0.11	0.395	0.404	0.702
ENSG00000165935	ENSG00000165935.9	SMCO2	protein_coding	single-pass membrane protein with coiled-coil domains 2 [Source:HGNC Symbol;Acc:HGNC:34448]	0.261	0.395	0.404	0.702
ENSG00000281383	ENSG00000281383.1	CH507-513H4.5	lncRNA	novel transcript, similar to YY1 associated myogenesis RNA 1 YAM1	-0.165	0.395	0.404	0.702
ENSG00000105618	ENSG00000105618.13	PRPF31	protein_coding	pre-mRNA processing factor 31 [Source:HGNC Symbol;Acc:HGNC:15446]	0.0303	0.395	0.404	0.702
ENSG00000273056	ENSG00000273056.1	RP11-77E14.2	lncRNA	novel transcript	-0.101	0.395	0.404	0.702
ENSG00000135829	ENSG00000135829.16	DHX9	protein_coding	DExH-box helicase 9 [Source:HGNC Symbol;Acc:HGNC:2750]	0.0272	0.395	0.404	0.702
ENSG00000111215	ENSG00000111215.12	PRR4	protein_coding	proline rich 4 [Source:HGNC Symbol;Acc:HGNC:18020]	0.101	0.395	0.403	0.702
ENSG00000131055	ENSG00000131055.4	COX4I2	protein_coding	cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232]	0.0803	0.395	0.403	0.702
ENSG00000108262	ENSG00000108262.15	GIT1	protein_coding	GIT ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:4272]	0.0448	0.395	0.403	0.702
ENSG00000269194	ENSG00000269194.1	AC006942.4	lncRNA	novel transcript, antisense to FUZ	0.155	0.395	0.403	0.702
ENSG00000234031	ENSG00000234031.1	RP11-570F6.1	processed_pseudogene	RPS3A pseudogene 44 [Source:HGNC Symbol;Acc:HGNC:36761]	-0.141	0.395	0.403	0.702
ENSG00000218073	ENSG00000218073.1	RP1-13D10.2	processed_pseudogene	PERP, TP53 apoptosis effector (PERP) pseudogene	-0.155	0.395	0.403	0.702
ENSG00000161513	ENSG00000161513.11	FDXR	protein_coding	ferredoxin reductase [Source:HGNC Symbol;Acc:HGNC:3642]	0.141	0.395	0.403	0.702
ENSG00000107821	ENSG00000107821.14	KAZALD1	protein_coding	Kazal type serine peptidase inhibitor domain 1 [Source:HGNC Symbol;Acc:HGNC:25460]	0.149	0.395	0.403	0.702
ENSG00000154124	ENSG00000154124.4	OTULIN	protein_coding	OTU deubiquitinase with linear linkage specificity [Source:HGNC Symbol;Acc:HGNC:25118]	-0.0295	0.395	0.403	0.702
ENSG00000241859	ENSG00000241859.6	KALP	transcribed_unprocessed_pseudogene	anosmin 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:6214]	0.158	0.395	0.403	0.702
ENSG00000197444	ENSG00000197444.9	OGDHL	protein_coding	oxoglutarate dehydrogenase L [Source:HGNC Symbol;Acc:HGNC:25590]	-0.314	0.396	0.403	0.702
ENSG00000229659	ENSG00000229659.1	RP11-345K20.2	processed_pseudogene	ribosomal protein L26 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:34023]	0.127	0.396	0.403	0.702
ENSG00000143178	ENSG00000143178.12	TBX19	protein_coding	T-box transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11596]	-0.0653	0.396	0.403	0.702
ENSG00000175137	ENSG00000175137.10	SH3BP5L	protein_coding	SH3 binding domain protein 5 like [Source:HGNC Symbol;Acc:HGNC:29360]	0.0457	0.396	0.403	0.702
ENSG00000228037	ENSG00000228037.1	RP3-395M20.9	lncRNA	novel transcript	-0.209	0.396	0.403	0.702
ENSG00000204859	ENSG00000204859.12	ZBTB48	protein_coding	zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:HGNC:4930]	-0.0426	0.396	0.402	0.702
ENSG00000124067	ENSG00000124067.16	SLC12A4	protein_coding	solute carrier family 12 member 4 [Source:HGNC Symbol;Acc:HGNC:10913]	0.0577	0.396	0.402	0.702
ENSG00000174226	ENSG00000174226.8	SNX31	protein_coding	sorting nexin 31 [Source:HGNC Symbol;Acc:HGNC:28605]	-0.165	0.396	0.402	0.702
ENSG00000137225	ENSG00000137225.12	CAPN11	protein_coding	calpain 11 [Source:HGNC Symbol;Acc:HGNC:1478]	-0.267	0.396	0.402	0.702
ENSG00000203812	ENSG00000203812.2	HIST2H2AA3	protein_coding	H2A clustered histone 18 [Source:HGNC Symbol;Acc:HGNC:4736]	0.09	0.396	0.402	0.702
ENSG00000126803	ENSG00000126803.9	HSPA2	protein_coding	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	-0.133	0.396	0.402	0.702
ENSG00000105321	ENSG00000105321.13	CCDC9	protein_coding	coiled-coil domain containing 9 [Source:HGNC Symbol;Acc:HGNC:24560]	0.0494	0.396	0.402	0.702
ENSG00000279406	ENSG00000279406.1	RP11-327E2.5	TEC	TEC	-0.124	0.396	0.402	0.702
ENSG00000180008	ENSG00000180008.8	SOCS4	protein_coding	suppressor of cytokine signaling 4 [Source:HGNC Symbol;Acc:HGNC:19392]	0.0374	0.396	0.402	0.702
ENSG00000122477	ENSG00000122477.12	LRRC39	protein_coding	leucine rich repeat containing 39 [Source:HGNC Symbol;Acc:HGNC:28228]	-0.0563	0.396	0.402	0.702
ENSG00000134453	ENSG00000134453.15	RBM17	protein_coding	RNA binding motif protein 17 [Source:HGNC Symbol;Acc:HGNC:16944]	0.0219	0.396	0.402	0.703
ENSG00000284747	ENSG00000284747.1	CTA-215D11.6	lncRNA	novel transcript, antisense to ERRFI1	-0.0989	0.396	0.402	0.703
ENSG00000268350	ENSG00000268350.7	FAM156A	protein_coding	family with sequence similarity 156 member A [Source:HGNC Symbol;Acc:HGNC:30114]	-0.0672	0.396	0.402	0.703
ENSG00000115232	ENSG00000115232.13	ITGA4	protein_coding	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	0.12	0.396	0.402	0.703
ENSG00000168216	ENSG00000168216.10	LMBRD1	protein_coding	LMBR1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23038]	0.0341	0.396	0.402	0.703
ENSG00000138385	ENSG00000138385.15	SSB	protein_coding	small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316]	0.0293	0.396	0.402	0.703
ENSG00000042832	ENSG00000042832.11	TG	protein_coding	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]	0.143	0.396	0.402	0.703
ENSG00000235245	ENSG00000235245.1	RP11-122K13.12	NA	NA	-0.0858	0.396	0.402	0.703
ENSG00000262700	ENSG00000262700.1	RP11-266L9.3	processed_pseudogene	thyroid hormone receptor interactor 11 (TRIP11) pseudogene	-0.171	0.396	0.402	0.703
ENSG00000246596	ENSG00000246596.7	RP11-1277A3.2	transcribed_unprocessed_pseudogene	SUMO interacting motifs containing 1 (SIMC1) pseudogene	0.0976	0.396	0.402	0.703
ENSG00000084070	ENSG00000084070.11	SMAP2	protein_coding	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]	0.061	0.397	0.402	0.703
ENSG00000237296	ENSG00000237296.9	RP11-368J21.1	transcribed_unprocessed_pseudogene	SMG1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44186]	-0.0997	0.397	0.402	0.703
ENSG00000248593	ENSG00000248593.3	DSTNP2	transcribed_unprocessed_pseudogene	DSTN pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:34546]	0.0762	0.397	0.402	0.703
ENSG00000239789	ENSG00000239789.5	MRPS17	protein_coding	mitochondrial ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:14047]	0.0557	0.397	0.402	0.703
ENSG00000276409	ENSG00000276409.4	CCL14	protein_coding	C-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10612]	-0.143	0.397	0.401	0.703
ENSG00000083750	ENSG00000083750.12	RRAGB	protein_coding	Ras related GTP binding B [Source:HGNC Symbol;Acc:HGNC:19901]	-0.0397	0.397	0.401	0.703
ENSG00000204310	ENSG00000204310.12	AGPAT1	protein_coding	1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324]	0.0437	0.397	0.401	0.703
ENSG00000133063	ENSG00000133063.15	CHIT1	protein_coding	chitinase 1 [Source:HGNC Symbol;Acc:HGNC:1936]	0.185	0.397	0.401	0.703
ENSG00000234373	ENSG00000234373.1	RP11-255A11.14	processed_pseudogene	sorting nexin 18 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:39615]	0.329	0.397	0.401	0.703
ENSG00000203791	ENSG00000203791.14	METTL10	protein_coding	EEF1A lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:33787]	-0.0399	0.397	0.401	0.703
ENSG00000198856	ENSG00000198856.12	OSTC	protein_coding	oligosaccharyltransferase complex non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:24448]	-0.0523	0.397	0.401	0.703
ENSG00000250978	ENSG00000250978.5	RP11-357D18.1	lncRNA	novel transcript	0.184	0.397	0.401	0.703
ENSG00000139734	ENSG00000139734.17	DIAPH3	protein_coding	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	0.204	0.397	0.401	0.703
ENSG00000101811	ENSG00000101811.13	CSTF2	protein_coding	cleavage stimulation factor subunit 2 [Source:HGNC Symbol;Acc:HGNC:2484]	0.0338	0.397	0.401	0.703
ENSG00000197989	ENSG00000197989.13	SNHG12	lncRNA	small nucleolar RNA host gene 12 [Source:HGNC Symbol;Acc:HGNC:30062]	-0.0611	0.397	0.401	0.703
ENSG00000270001	ENSG00000270001.1	RP11-218C14.8	lncRNA	novel transcript	0.135	0.397	0.401	0.703
ENSG00000187288	ENSG00000187288.10	CIDEC	protein_coding	cell death inducing DFFA like effector c [Source:HGNC Symbol;Acc:HGNC:24229]	-0.465	0.397	0.401	0.703
ENSG00000161664	ENSG00000161664.6	ASB16	protein_coding	ankyrin repeat and SOCS box containing 16 [Source:HGNC Symbol;Acc:HGNC:19768]	0.0883	0.397	0.401	0.703
ENSG00000165449	ENSG00000165449.11	SLC16A9	protein_coding	solute carrier family 16 member 9 [Source:HGNC Symbol;Acc:HGNC:23520]	-0.134	0.397	0.401	0.703
ENSG00000222019	ENSG00000222019.7	AC133919.6	transcribed_unprocessed_pseudogene	urate (hydroxyiso-) hydrolase, pseudogene [Source:HGNC Symbol;Acc:HGNC:43695]	0.157	0.397	0.401	0.703
ENSG00000076604	ENSG00000076604.14	TRAF4	protein_coding	TNF receptor associated factor 4 [Source:HGNC Symbol;Acc:HGNC:12034]	-0.0981	0.397	0.401	0.703
ENSG00000132718	ENSG00000132718.8	SYT11	protein_coding	synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]	0.0602	0.397	0.401	0.703
ENSG00000189227	ENSG00000189227.5	C15orf61	protein_coding	chromosome 15 open reading frame 61 [Source:HGNC Symbol;Acc:HGNC:34453]	-0.0557	0.397	0.401	0.703
ENSG00000143379	ENSG00000143379.12	SETDB1	protein_coding	SET domain bifurcated histone lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10761]	-0.0286	0.397	0.401	0.703
ENSG00000202538	ENSG00000202538.1	RNU4-2	snRNA	RNA, U4 small nuclear 2 [Source:HGNC Symbol;Acc:HGNC:10193]	-0.105	0.397	0.401	0.703
ENSG00000101384	ENSG00000101384.12	JAG1	protein_coding	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	-0.0867	0.398	0.401	0.703
ENSG00000110042	ENSG00000110042.7	DTX4	protein_coding	deltex E3 ubiquitin ligase 4 [Source:HGNC Symbol;Acc:HGNC:29151]	0.085	0.398	0.401	0.703
ENSG00000063660	ENSG00000063660.8	GPC1	protein_coding	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	0.06	0.398	0.4	0.703
ENSG00000257702	ENSG00000257702.3	LBX2-AS1	lncRNA	LBX2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:25136]	0.0747	0.398	0.4	0.703
ENSG00000019995	ENSG00000019995.6	ZRANB1	protein_coding	zinc finger RANBP2-type containing 1 [Source:HGNC Symbol;Acc:HGNC:18224]	0.0375	0.398	0.4	0.703
ENSG00000242798	ENSG00000242798.1	RP11-506M12.1	lncRNA	novel transcript	-0.128	0.398	0.4	0.703
ENSG00000136267	ENSG00000136267.13	DGKB	protein_coding	diacylglycerol kinase beta [Source:HGNC Symbol;Acc:HGNC:2850]	0.284	0.398	0.4	0.703
ENSG00000143819	ENSG00000143819.12	EPHX1	protein_coding	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	-0.0706	0.398	0.4	0.703
ENSG00000108961	ENSG00000108961.13	RANGRF	protein_coding	RAN guanine nucleotide release factor [Source:HGNC Symbol;Acc:HGNC:17679]	0.0508	0.398	0.4	0.703
ENSG00000248713	ENSG00000248713.1	RP11-766F14.2	protein_coding	chromosome 4 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:27741]	-0.107	0.398	0.4	0.704
ENSG00000102524	ENSG00000102524.11	TNFSF13B	protein_coding	TNF superfamily member 13b [Source:HGNC Symbol;Acc:HGNC:11929]	-0.0744	0.398	0.4	0.704
ENSG00000232480	ENSG00000232480.1	RP11-224O19.2	lncRNA	TGFB2 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:50628]	-0.191	0.399	0.399	0.704
ENSG00000130227	ENSG00000130227.16	XPO7	protein_coding	exportin 7 [Source:HGNC Symbol;Acc:HGNC:14108]	0.0262	0.399	0.399	0.704
ENSG00000145214	ENSG00000145214.13	DGKQ	protein_coding	diacylglycerol kinase theta [Source:HGNC Symbol;Acc:HGNC:2856]	0.0536	0.399	0.399	0.705
ENSG00000061273	ENSG00000061273.17	HDAC7	protein_coding	histone deacetylase 7 [Source:HGNC Symbol;Acc:HGNC:14067]	-0.0567	0.399	0.399	0.705
ENSG00000084072	ENSG00000084072.16	PPIE	protein_coding	peptidylprolyl isomerase E [Source:HGNC Symbol;Acc:HGNC:9258]	-0.0308	0.399	0.399	0.705
ENSG00000108231	ENSG00000108231.12	LGI1	protein_coding	leucine rich glioma inactivated 1 [Source:HGNC Symbol;Acc:HGNC:6572]	0.122	0.399	0.399	0.705
ENSG00000155158	ENSG00000155158.20	TTC39B	protein_coding	tetratricopeptide repeat domain 39B [Source:HGNC Symbol;Acc:HGNC:23704]	0.112	0.399	0.399	0.705
ENSG00000175175	ENSG00000175175.5	PPM1E	protein_coding	protein phosphatase, Mg2+/Mn2+ dependent 1E [Source:HGNC Symbol;Acc:HGNC:19322]	-0.19	0.399	0.399	0.705
ENSG00000151151	ENSG00000151151.5	IPMK	protein_coding	inositol polyphosphate multikinase [Source:HGNC Symbol;Acc:HGNC:20739]	0.0472	0.399	0.399	0.705
ENSG00000276975	ENSG00000276975.2	HYDIN2	transcribed_unprocessed_pseudogene	HYDIN axonemal central pair apparatus protein 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:33129]	-0.204	0.399	0.399	0.705
ENSG00000130876	ENSG00000130876.11	SLC7A10	protein_coding	solute carrier family 7 member 10 [Source:HGNC Symbol;Acc:HGNC:11058]	-0.472	0.399	0.399	0.705
ENSG00000223825	ENSG00000223825.5	AC079354.4	processed_pseudogene	DAZ associated protein 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43869]	0.133	0.4	0.398	0.705
ENSG00000170325	ENSG00000170325.14	PRDM10	protein_coding	PR/SET domain 10 [Source:HGNC Symbol;Acc:HGNC:13995]	-0.0508	0.4	0.398	0.705
ENSG00000261485	ENSG00000261485.1	RP11-179F17.5	lncRNA	PAN3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39932]	0.0613	0.4	0.398	0.705
ENSG00000198912	ENSG00000198912.10	C1orf174	protein_coding	chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915]	0.0357	0.4	0.398	0.705
ENSG00000167355	ENSG00000167355.8	OR51B5	protein_coding	olfactory receptor family 51 subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:19599]	-0.165	0.4	0.398	0.705
ENSG00000096433	ENSG00000096433.10	ITPR3	protein_coding	inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]	-0.0643	0.4	0.398	0.706
ENSG00000145040	ENSG00000145040.3	UCN2	protein_coding	urocortin 2 [Source:HGNC Symbol;Acc:HGNC:18414]	0.218	0.4	0.398	0.706
ENSG00000159197	ENSG00000159197.3	KCNE2	protein_coding	potassium voltage-gated channel subfamily E regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:6242]	0.16	0.4	0.398	0.706
ENSG00000273899	ENSG00000273899.4	NOL12	protein_coding	nucleolar protein 12 [Source:HGNC Symbol;Acc:HGNC:28585]	0.03	0.4	0.398	0.706
ENSG00000139926	ENSG00000139926.15	FRMD6	protein_coding	FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839]	-0.0716	0.4	0.398	0.706
ENSG00000162604	ENSG00000162604.12	TM2D1	protein_coding	TM2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24142]	-0.0279	0.4	0.398	0.706
ENSG00000274386	ENSG00000274386.5	TMEM269	protein_coding	transmembrane protein 269 [Source:HGNC Symbol;Acc:HGNC:52381]	0.151	0.4	0.398	0.706
ENSG00000145740	ENSG00000145740.18	SLC30A5	protein_coding	solute carrier family 30 member 5 [Source:HGNC Symbol;Acc:HGNC:19089]	0.0268	0.4	0.398	0.706
ENSG00000163399	ENSG00000163399.15	ATP1A1	protein_coding	ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]	0.0771	0.4	0.398	0.706
ENSG00000229422	ENSG00000229422.2	RP11-262H14.13	lncRNA	novel transcript	-0.284	0.4	0.397	0.706
ENSG00000161681	ENSG00000161681.15	SHANK1	protein_coding	SH3 and multiple ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15474]	-0.219	0.401	0.397	0.706
ENSG00000187838	ENSG00000187838.16	PLSCR3	protein_coding	phospholipid scramblase 3 [Source:HGNC Symbol;Acc:HGNC:16495]	0.0436	0.401	0.397	0.706
ENSG00000138073	ENSG00000138073.13	PREB	protein_coding	prolactin regulatory element binding [Source:HGNC Symbol;Acc:HGNC:9356]	0.0831	0.401	0.397	0.706
ENSG00000104824	ENSG00000104824.16	HNRNPL	protein_coding	heterogeneous nuclear ribonucleoprotein L [Source:HGNC Symbol;Acc:HGNC:5045]	-0.0279	0.401	0.397	0.706
ENSG00000285205	ENSG00000285205.1	RP11-179A9.4	lncRNA	novel transcript	-0.133	0.401	0.397	0.707
ENSG00000113205	ENSG00000113205.5	PCDHB3	protein_coding	protocadherin beta 3 [Source:HGNC Symbol;Acc:HGNC:8688]	-0.0733	0.401	0.397	0.707
ENSG00000146950	ENSG00000146950.12	SHROOM2	protein_coding	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]	0.151	0.401	0.397	0.707
ENSG00000065809	ENSG00000065809.13	FAM107B	protein_coding	family with sequence similarity 107 member B [Source:HGNC Symbol;Acc:HGNC:23726]	0.0925	0.401	0.397	0.707
ENSG00000273055	ENSG00000273055.1	CTB-13F3.1	lncRNA	novel transcript, antisense to LAMB1	0.112	0.401	0.397	0.707
ENSG00000169087	ENSG00000169087.10	HSPBAP1	protein_coding	HSPB1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16389]	-0.0709	0.401	0.396	0.707
ENSG00000228803	ENSG00000228803.1	AC073072.6	processed_pseudogene	MT-CYB pseudogene 42 [Source:HGNC Symbol;Acc:HGNC:52310]	-0.217	0.401	0.396	0.707
ENSG00000119471	ENSG00000119471.14	HSDL2	protein_coding	hydroxysteroid dehydrogenase like 2 [Source:HGNC Symbol;Acc:HGNC:18572]	-0.0553	0.401	0.396	0.707
ENSG00000226051	ENSG00000226051.6	RP11-399K21.6	lncRNA	ZNF503 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27370]	0.186	0.402	0.396	0.708
ENSG00000228232	ENSG00000228232.1	CTD-2324A24.1	processed_pseudogene	glyceraldehyde-3-phosphate dehydrogenase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4159]	0.103	0.402	0.396	0.708
ENSG00000090776	ENSG00000090776.5	EFNB1	protein_coding	ephrin B1 [Source:HGNC Symbol;Acc:HGNC:3226]	-0.0595	0.402	0.396	0.708
ENSG00000175274	ENSG00000175274.18	TP53I11	protein_coding	tumor protein p53 inducible protein 11 [Source:HGNC Symbol;Acc:HGNC:16842]	0.0792	0.402	0.396	0.708
ENSG00000068831	ENSG00000068831.18	RASGRP2	protein_coding	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	-0.0656	0.402	0.396	0.708
ENSG00000205707	ENSG00000205707.10	LYRM5	protein_coding	electron transfer flavoprotein regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:27052]	-0.0693	0.402	0.396	0.708
ENSG00000154415	ENSG00000154415.7	PPP1R3A	protein_coding	protein phosphatase 1 regulatory subunit 3A [Source:HGNC Symbol;Acc:HGNC:9291]	-0.0666	0.402	0.396	0.708
ENSG00000164197	ENSG00000164197.11	RNF180	protein_coding	ring finger protein 180 [Source:HGNC Symbol;Acc:HGNC:27752]	-0.0591	0.402	0.396	0.708
ENSG00000023892	ENSG00000023892.10	DEF6	protein_coding	DEF6 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:2760]	0.09	0.402	0.395	0.708
ENSG00000137691	ENSG00000137691.12	C11orf70	protein_coding	cilia and flagella associated protein 300 [Source:HGNC Symbol;Acc:HGNC:28188]	-0.128	0.402	0.395	0.708
